credit_amount,duration,installment_commitment,residence_since,age,existing_credits,num_dependents,class
2762,12,1,2,25,1,1,bad
2779,18,1,3,21,1,1,good
2743,28,4,2,29,2,1,good
1149,18,4,3,46,2,1,good
1313,9,1,4,20,1,1,good
1190,18,2,4,55,3,2,bad
3448,5,1,4,74,1,1,good
11328,24,2,3,29,2,1,bad
1872,6,4,4,36,3,1,good
2058,24,4,2,33,2,1,good
2136,9,3,2,25,1,1,good
1484,12,2,1,25,1,1,bad
660,6,2,4,23,1,1,good
1287,24,4,4,37,2,1,good
3394,42,4,4,65,2,1,good
609,12,4,1,26,1,1,bad
1884,12,4,4,39,1,1,good
1620,12,2,3,30,1,1,good
2629,20,2,3,29,2,1,good
719,12,4,4,41,1,2,bad
5096,48,2,3,30,1,1,bad
1244,9,4,4,41,2,1,good
1842,36,4,4,34,1,1,bad
2576,7,2,2,35,1,1,good
1424,12,3,4,55,1,1,good
1512,15,3,3,61,2,1,bad
11054,36,4,2,30,1,1,good
518,6,3,1,29,1,1,good
2759,12,2,4,34,2,1,good
2670,24,4,4,35,1,1,good
4817,24,2,3,31,1,1,bad
2679,24,4,1,29,1,1,good
3905,11,2,2,36,2,2,good
3386,12,3,4,35,1,1,bad
343,6,4,1,27,1,1,good
4594,18,3,2,32,1,1,good
3620,36,1,2,37,1,2,good
1721,15,2,3,36,1,1,good
3017,12,3,1,34,1,1,good
754,12,4,4,38,2,1,good
1950,18,4,1,34,2,1,good
2924,24,3,4,63,1,2,good
1659,24,4,2,29,1,1,bad
7238,48,3,3,32,2,2,good
2764,33,2,2,26,2,1,good
4679,24,3,3,35,2,1,good
3092,24,3,2,22,1,1,bad
448,6,4,4,23,1,1,bad
654,9,4,3,28,1,1,bad
1238,6,4,4,36,1,2,good
1245,18,4,2,33,1,1,bad
3114,18,1,4,26,1,1,bad
2569,39,4,4,24,1,1,good
5152,24,4,2,25,1,1,good
1037,12,3,4,39,1,1,good
1478,15,4,4,44,2,2,good
3573,12,1,1,23,1,1,good
1201,24,4,1,26,1,1,good
3622,30,4,4,57,2,1,good
960,15,3,2,30,2,1,good
1163,12,4,4,44,1,1,good
1209,6,4,4,47,1,1,bad
3077,12,2,4,52,1,1,good
3757,24,4,4,62,1,1,good
1418,10,3,2,35,1,1,good
3518,6,2,3,26,1,1,good
1934,12,2,2,26,2,1,good
8318,27,2,4,42,2,1,bad
1237,6,1,1,27,2,1,good
368,6,4,4,38,1,1,good
2122,12,3,2,39,2,2,good
2996,24,2,4,20,1,1,bad
9034,36,4,1,29,1,1,bad
1585,24,4,3,40,2,1,good
1301,18,4,2,32,1,1,good
1323,6,2,4,28,2,2,good
3123,24,4,1,27,1,1,bad
5493,36,2,4,42,1,2,good
1126,9,2,4,49,1,1,good
1216,24,4,4,38,2,2,bad
1207,24,4,4,24,1,1,bad
1309,10,4,4,27,1,1,bad
2360,15,2,2,36,1,1,good
6850,15,1,2,34,1,2,bad
1413,24,4,2,28,1,1,good
8588,39,4,2,45,1,1,good
759,12,4,2,26,1,1,bad
4686,36,2,2,32,1,1,good
2687,15,2,4,26,1,1,good
585,12,4,4,20,2,1,good
2255,24,4,1,54,1,1,good
609,6,4,3,37,2,1,good
1361,6,2,4,40,1,2,good
7127,36,2,4,23,2,1,bad
1203,6,3,2,43,1,1,good
700,6,4,4,36,2,1,good
5507,24,3,4,44,2,1,good
3190,18,2,2,24,1,1,bad
7119,48,3,4,53,2,2,bad
3488,24,3,4,23,1,1,good
1113,18,4,4,26,1,2,good
7966,26,2,3,30,2,1,good
1532,15,4,3,31,1,1,good
1503,4,2,1,42,2,2,good
2302,36,4,4,31,1,1,bad
662,6,3,4,41,1,2,good
2273,36,3,1,32,2,2,good
2631,15,2,4,28,2,1,bad
1503,12,4,4,41,1,1,good
1311,24,4,3,26,1,1,good
3105,24,4,2,25,2,1,good
2319,21,2,1,33,1,1,bad
1374,6,4,3,75,1,1,good
3612,18,3,4,37,1,1,good
7763,48,4,4,42,1,1,bad
3049,18,1,1,45,1,1,good
1534,12,1,1,23,1,1,bad
2032,24,4,4,60,2,1,good
6350,30,4,4,31,1,1,bad
2864,18,2,1,34,1,2,bad
1255,12,4,4,61,2,1,good
1333,24,4,2,43,2,2,bad
2022,24,4,4,37,1,1,good
1552,24,3,1,32,1,2,good
626,12,4,4,24,1,1,bad
8858,48,2,1,35,2,1,good
996,12,4,4,23,2,1,good
1750,6,2,4,45,1,2,good
6999,48,1,1,34,2,1,bad
1995,12,4,1,27,1,1,good
1199,9,4,4,67,2,1,good
1331,12,2,1,22,1,1,bad
2278,18,3,3,28,2,1,bad
5003,21,1,4,29,2,1,bad
3552,24,3,4,27,1,1,bad
1928,18,2,2,31,2,1,bad
2964,24,4,4,49,1,2,good
1546,24,4,4,24,1,1,bad
683,6,2,1,29,1,1,good
12389,36,1,4,37,1,1,bad
4712,24,4,2,37,2,1,good
1553,24,3,2,23,2,1,good
1372,12,2,3,36,1,1,bad
2578,24,2,2,34,1,1,good
3979,48,4,1,41,2,2,good
6758,48,3,2,31,1,1,bad
3234,24,4,4,23,1,1,bad
5954,30,3,2,38,1,1,good
5433,24,2,4,26,1,1,good
806,15,4,4,22,1,1,good
1082,9,4,4,27,2,1,good
2788,15,2,3,24,2,1,good
2930,12,2,1,27,1,1,good
1927,24,3,2,33,2,1,good
2820,36,4,4,27,2,1,bad
937,24,4,3,27,2,1,good
1056,18,3,3,30,2,1,bad
3124,12,1,3,49,2,2,good
1388,9,4,2,26,1,1,good
2384,36,4,1,33,1,1,bad
2133,12,4,4,52,1,1,good
2039,18,1,4,20,1,1,bad
2799,9,2,2,36,2,2,good
1289,12,4,1,21,1,1,good
1217,18,4,3,47,1,1,bad
2246,12,3,3,60,2,1,bad
385,12,4,3,58,4,1,good
1965,24,4,4,42,2,1,good
1572,21,4,4,36,1,1,good
2718,24,3,4,20,1,1,bad
1358,24,4,3,40,1,1,bad
931,6,1,1,32,1,1,bad
1442,24,4,4,23,2,1,bad
4241,24,1,4,36,3,1,bad
2775,18,2,2,31,2,1,bad
3863,24,1,2,32,1,1,good
2329,7,1,1,45,1,1,good
918,9,4,1,30,1,1,bad
1837,24,4,4,34,1,1,bad
3349,36,4,2,28,1,1,bad
1275,10,4,2,23,1,1,good
2828,24,4,4,22,1,1,good
4526,24,3,2,74,1,1,good
2671,36,4,4,50,1,1,bad
2051,18,4,1,33,1,1,good
1300,15,4,4,45,1,2,good
741,12,4,3,22,1,1,bad
1240,10,1,4,48,1,2,bad
3357,21,4,2,29,1,1,good
3632,24,1,4,22,1,1,good
1808,18,4,1,22,1,1,bad
12204,48,2,2,48,1,1,good
9157,60,2,2,27,1,1,good
3676,6,1,3,37,3,2,good
3441,30,2,4,21,1,1,bad
640,12,4,2,49,1,1,good
3652,21,2,3,27,2,1,good
1530,18,3,2,32,2,1,bad
3914,48,4,2,38,1,1,bad
1858,12,4,1,22,1,1,good
2600,18,4,4,65,2,1,bad
1979,15,4,2,35,1,1,good
2116,6,2,2,41,1,1,good
1437,9,2,3,29,1,1,bad
4042,42,4,4,36,2,1,good
3832,9,1,4,64,1,1,good
3660,24,2,4,28,1,1,good
1553,18,4,3,44,1,1,bad
1444,15,4,1,23,1,1,good
1980,9,2,2,19,2,1,bad
1355,24,3,4,25,1,1,bad
1393,12,4,4,47,3,2,good
1376,24,4,1,28,1,1,good
15653,60,2,4,21,2,1,good
1493,12,4,3,34,1,2,good
4370,42,3,2,26,2,2,bad
750,18,4,1,27,1,1,bad
1308,15,4,4,38,2,1,good
4623,15,3,2,40,1,1,bad
1851,24,4,2,33,2,1,good
1880,18,4,1,32,2,1,good
7980,36,4,4,27,2,1,bad
4583,30,2,2,32,2,1,good
1386,12,2,2,26,1,1,bad
947,24,4,3,38,1,2,bad
684,12,4,4,40,1,2,bad
7476,48,4,1,50,1,1,good
1922,12,4,2,37,1,1,bad
2303,24,4,1,45,1,1,bad
8086,36,2,4,42,4,1,bad
2346,24,4,3,35,2,1,good
3973,14,1,4,22,1,1,good
888,12,4,4,41,1,2,bad
10222,48,4,3,37,1,1,good
4221,30,2,1,28,2,1,good
6361,18,2,1,41,1,1,good
1297,12,3,4,23,1,1,good
900,12,4,2,23,1,1,bad
2241,21,4,2,50,2,1,good
1050,6,4,1,35,2,1,good
1047,6,2,4,50,1,1,good
6314,24,4,2,27,2,1,good
3496,30,4,2,34,1,2,good
3609,48,1,1,27,1,1,good
4843,12,3,4,43,2,1,bad
3017,30,4,4,47,1,1,good
4139,24,3,3,27,2,1,good
5742,36,2,2,31,2,1,good
10366,60,2,4,42,1,1,good
2080,6,1,2,24,1,1,good
2580,21,4,2,41,1,2,bad
4530,30,4,4,26,1,1,good
5150,24,4,4,33,1,1,good
5595,72,2,2,24,1,1,bad
2384,24,4,4,64,1,1,good
1453,18,3,1,26,1,1,good
1538,6,1,2,56,1,1,good
2279,12,4,4,37,1,1,good
1478,15,4,3,33,2,1,good
5103,24,3,3,47,3,1,good
9857,36,1,3,31,2,2,good
6527,60,4,4,34,1,2,good
1347,10,4,2,27,2,1,good
2862,36,4,3,30,1,1,good
2753,9,3,4,35,1,1,good
3651,12,1,3,31,1,2,good
975,15,2,3,25,2,1,good
2631,15,3,2,25,1,1,good
2896,24,2,1,29,1,1,good
4716,6,1,3,44,2,2,good
2284,24,4,2,28,1,1,good
1236,6,2,4,50,1,1,good
1103,12,4,3,29,2,1,good
926,12,1,2,38,1,1,good
1800,18,4,2,24,2,1,good
1905,15,4,4,40,1,1,good
1123,12,4,4,29,1,1,bad
6331,48,4,4,46,2,1,bad
1377,24,4,2,47,1,1,good
2503,30,4,2,41,2,1,good
2528,27,4,1,32,1,2,good
5324,15,1,4,35,1,1,good
6560,48,3,2,24,1,1,bad
2969,12,4,3,25,2,1,bad
1206,9,4,4,25,1,1,good
2118,9,2,2,37,1,2,good
629,18,4,3,32,2,1,good
1198,6,4,4,35,1,1,bad
2476,21,4,4,46,1,1,good
1138,9,4,4,25,2,1,good
14027,60,4,2,27,1,1,bad
7596,30,1,4,63,2,1,good
3077,30,3,2,40,2,2,good
1505,18,4,2,32,1,1,good
3148,24,3,2,31,2,1,good
6148,20,3,4,31,2,1,good
1337,9,4,2,34,2,1,bad
433,6,4,2,24,1,2,bad
1228,12,4,2,24,1,1,bad
790,9,4,3,66,1,1,good
2570,27,3,3,21,1,1,bad
250,6,2,2,41,2,1,good
1316,15,2,2,47,2,1,good
1882,18,4,4,25,2,1,bad
6416,48,4,3,59,1,1,bad
1275,24,2,4,36,2,1,good
6403,24,1,2,33,1,1,good
1987,24,2,4,21,1,2,bad
760,8,4,2,44,1,1,good
2603,24,2,4,28,1,1,good
3380,4,1,1,37,1,2,good
3990,36,3,2,29,1,1,good
11560,24,1,4,23,2,1,bad
4380,18,3,4,35,1,2,good
6761,6,1,3,45,2,2,good
4280,30,4,4,26,2,1,bad
2325,24,2,3,32,1,1,good
1048,10,4,4,23,1,1,good
3160,21,4,3,41,1,1,good
2483,24,4,4,22,1,1,good
14179,39,4,4,30,2,1,good
1797,13,3,1,28,2,1,good
2511,15,1,4,23,1,1,good
1274,12,3,1,37,1,1,bad
5248,21,1,3,26,1,1,good
3029,15,2,2,33,1,1,good
428,6,2,1,49,1,1,good
976,18,1,2,23,1,1,bad
841,12,2,4,23,1,1,good
5771,30,4,2,25,2,1,good
1555,12,4,4,55,2,2,bad
1285,24,4,4,32,1,1,bad
1299,6,1,1,74,3,2,good
1271,15,3,4,39,2,1,bad
1393,24,2,2,31,1,1,good
691,12,4,3,35,2,1,bad
5045,15,1,4,59,1,1,good
2124,18,4,4,24,2,1,bad
2214,12,4,3,24,1,1,good
12680,21,4,4,30,1,1,bad
2463,24,4,3,27,2,1,good
1155,12,3,3,40,2,1,good
3108,30,2,4,31,1,1,bad
2901,10,1,4,31,1,1,good
3617,12,1,4,28,3,1,good
1655,12,2,4,63,2,1,good
2812,24,2,4,26,1,1,good
8065,36,3,2,25,2,1,bad
3275,21,1,4,36,1,1,good
2223,24,4,4,52,2,1,good
1480,12,2,4,66,3,1,good
1371,24,4,4,25,1,1,bad
3535,36,4,4,37,2,1,good
3509,18,4,1,25,1,1,good
5711,36,4,2,38,2,1,good
3872,18,2,4,67,1,1,good
4933,39,2,2,25,2,1,bad
1940,24,4,4,60,1,1,good
1410,12,2,2,31,1,1,good
836,12,4,2,23,1,1,bad
6468,20,1,4,60,1,1,good
1941,18,4,2,35,1,1,good
2675,22,3,4,40,1,1,good
2751,48,4,3,38,2,2,good
6224,48,4,4,50,1,1,bad
5998,40,4,3,27,1,1,bad
1188,21,2,4,39,1,2,bad
6313,24,3,4,41,1,2,good
1221,6,1,2,27,2,1,good
2892,24,3,4,51,1,1,good
3062,24,4,3,32,1,1,good
2301,9,2,4,22,1,1,good
7511,18,1,4,51,1,2,bad
1258,12,2,4,22,2,1,good
717,24,4,4,54,2,1,good
1549,9,4,2,35,1,1,good
1597,24,4,4,54,2,2,good
1795,18,3,4,48,2,1,good
4272,20,1,4,24,2,1,good
976,12,4,4,35,2,1,good
7472,12,1,2,24,1,1,good
9271,36,2,1,24,1,1,bad
590,6,3,3,26,1,1,good
930,12,4,4,65,4,1,good
9283,42,1,2,55,1,1,good
1778,15,2,1,26,2,1,bad
